Device,Model,Great,Good,Broken Screen,Defective
LG,LG / X Power 3 (LMX510WM),40,30,0,0
,LG K30 ,25,15,0,0
,LG K61 -2020,150,120,0,0
,LG Nexus 5 (D820),5,5,0,0
,LG Nexus 5X (H790),50,40,0,0
,LG Q6 (M703),40,30,0,0
,LG Q60 ,125,105,0,0
,LG Q70 ,135,115,0,0
,LG V20 ,60,40,0,0
,LG V30 (H933),105,85,0,0
,LG G3 (D852),30,20,0,0
,LG G4 (H812),35,25,0,0
,LG G5 (H831),50,35,0,0
,LG G6 (H873),75,60,0,0
,LG G7 One,95,70,0,0
,LG G7 ThinQ,105,80,0,0
,LG G8 ThinQ,170,140,0,0
,LG G8X Dual Screen,330,290,0,0
,LG V60 ThinQ Dual Screen,450,400,0,0
,LG Velvet 5G (2020),250,200,0,0
